name,id,slug
Ян Брейгель Старший,5c48b6a672ebd144ef45c96f,yan-breygel-starshiy
Оссовский П.П.,5c48b66d72ebd144ef45b84d,ossovskiy-p-p
Шильдер Н.Г.,5c48b69c72ebd144ef45c62b,shilder-n-g
Кандинский В.В.,5c48b6c072ebd144ef45d229,kandinskiy-vv
Семирадский Г.И.,5c48b69a72ebd144ef45c570,semiradskiy-genrih-ippolitovich
Верещагин В.В.,5c48b66772ebd144ef45b6fc,vereshchagin-vv
Вениг К.Б.,5c48b6a272ebd144ef45c827,venig-k-b
Соломаткин Л.И.,5c48b6b572ebd144ef45ceaf,solomatkin-l-i-1
Сверчков Н.Е.,5c48b6a272ebd144ef45c82b,sverchkov-n-e
Егоров А.Е.,5c48b6ce72ebd144ef45d6bf,egorov-a-e
Бронников Ф.А.,5c48b68772ebd144ef45bf05,bronnikov-f-a
Хруцкий И.Ф.,5c48b6a272ebd144ef45c810,hruckiy-i-f
Грабарь И.Э.,5c48b6a372ebd144ef45c885,grabar-i-e
Джордж Доу,5c48b67372ebd144ef45ba56,dzh-dou
Греков М.Б.,5c48b6cc72ebd144ef45d616,grekov-m-b
Юон  К.Ф.,5c48b6ae72ebd144ef45cc1b,yuon-k-f-1
Риццони А.А.,5c48b68772ebd144ef45bf09,ricconi-a-a
Кипренский О.А.,5c48b66e72ebd144ef45b879,kiprenskiy-o-a
Марко Риччи,5c48b6a572ebd144ef45c94f,m-richchi
Басов В.Н.,5c48b6dd72ebd144ef45db5b,basov-v-n
Сажин Н.А.,5c48b6db72ebd144ef45dac4,sazhin-n-a
Врубель М.А.,5c48b6a372ebd144ef45c88f,vrubel-m-a
Орлов И.П.,5c48b6db72ebd144ef45da93,orlov-i-p
Корзухин А.И.,5c48b6d872ebd144ef45d986,korzuhin-a-i
Сорока Г.В.,5c48b6da72ebd144ef45da6f,soroka-g-v
Самохвалов А.Н.,5c48b6db72ebd144ef45dabc,samohvalov-a-n
Прусаков Н.П.,5c48b6dc72ebd144ef45db4e,prusakov-n-p
Алексеев Ф.Я.,5c48b68e72ebd144ef45c16f,alekseev-fya
Ушаков С.Ф.,5c48b68472ebd144ef45be44,s-ushakov
Давид Тенирс Младший,5c48b6a572ebd144ef45c96b,d-tenirs-mladshiy
Флавицкий К.Д.,5c48b6b272ebd144ef45cd7c,flavickiy-k
Блок А.А.,5c48b69872ebd144ef45c47c,blok-a
Нефф Т.А.,5c48b68b72ebd144ef45c072,neff-t-a
Танков И.М.,5c48b68e72ebd144ef45c181,tankov-i-m
Станищевский Л.С.,5c48b6b272ebd144ef45cd64,stanishchevskiy-l
Заболоцкий П.Е.,5c48b6b272ebd144ef45cd68,zabolockiy-p
Ростворовский С.Р.,5c48b6b272ebd144ef45cd80,rostvorovskiy-s
Пастернак Л.О.,5c48b66972ebd144ef45b763,pasternak-l-o
Иванов А.И.,5c48b68e72ebd144ef45c17d,ivanov-a-i
Ларионов М.Ф.,5c48b68172ebd144ef45bd59,larionov-mf
Рерих Н.К.,5c48b6a372ebd144ef45c897,rerih-n-k-1
Сарьян М.С.,5c48b6dc72ebd144ef45db23,saryan-m-s
Малевич К.С.,5c48b6a472ebd144ef45c8fd,malevich-k-s
Рубо Ф.А.,5c48b68e72ebd144ef45c1b5,rubo-f-a
Вещилов К.А.,5c48b67072ebd144ef45b97f,veshchilov-k-a
Эйзенштейн С.М.,5c48b6d972ebd144ef45d9ec,eyzenshteyn-s-m
Жерар де Нерваль,5c48b69e72ebd144ef45c6db,de-nerval-zh
Захаров Л.Г. ,5c48b67772ebd144ef45bb5d,a-g-shipunov-l-g-zaharov
Шипунов А.Г.,5c48b67772ebd144ef45bb4a,v-p-gryazev-a-g-shipunov
Мещерский А.И.,5c48b68e72ebd144ef45c185,meshcherskiy-a-i
Юровский Я.М.,5c48b6cc72ebd144ef45d61b,yurovskiy-ya-m
Лепешинский П.Н.,5c48b6b472ebd144ef45ce22,lepeshinskiy-p-n
Розанова О.В.,5c48b6a472ebd144ef45c8c7,rozanova-ov
Матвеев Ф.М.,5c48b6bf72ebd144ef45d1d7,matveev-f-m-1
Головин А.Я.,5c48b6c572ebd144ef45d399,golovin-a-ya
Харитонов Н.В.,5c4a2775f1aa5824b14b790d,haritonov-nv
Шарль ван Лоо,5c48b6a672ebd144ef45c97f,vanloo-sh-a
Маковский А.В.,5c48b6c872ebd144ef45d4d1,makovskiy-a-v
Антокольский М.М.,5c48b6a272ebd144ef45c821,antokolskiy-mm
Экстер А.А.,5c48b6a472ebd144ef45c8d0,ekster-a-a
Ян ван Гойен,5c48b6ae72ebd144ef45cc4f,yan-yozefs-van-goyen
Мадемуазель Ривьер,5c48b6bf72ebd144ef45d1c0,mademuazel-river
Гверчино,5c48b6b572ebd144ef45ced0,dzhovanni-franchesko-barberi
Йозеф Вагнер,5c48b6c572ebd144ef45d3c2,yozef-vagner
Йорис ван Сон,5c48b6af72ebd144ef45cc73,yoris-van-son
Адольфо Баччи ,5c48b6c872ebd144ef45d4cd,adolfo-bachchi
Бенедиктус Николаус Вихманн ,5c48b6bc72ebd144ef45d0b7,benediktus-nikolaus-vihmann
Франческо Фонтебассо ,5c48b68d72ebd144ef45c159,f-fontebasso
Анна-Лина Хэрконен ,5c48b69e72ebd144ef45c6e4,a-herkonen
Анна-Розали Фийёль,5c48b6b772ebd144ef45cf06,anna-rozali-fiyyol
Ханс Плешински,5c48b69e72ebd144ef45c6cb,pleshinski-h
Камиль Коро,5c48b6a172ebd144ef45c7de,kamil-koro
Джорджо Вазари,5c48b6a172ebd144ef45c7b5,dzh-vazari
Аладжалова Е.С.,5c48b68872ebd144ef45bf77,aladzhalova-e-s
Терпсихоров Н.Б.,5c48b6dd72ebd144ef45db67,terpsihorov-n-b
Каспар Вербрюгген-младший,5c48b6a172ebd144ef45c7d6,verbryuggen-mladshiy-k-p
Егоров В.Е. ,5c48b6d172ebd144ef45d7ca,egorov-v-e
Егоров Е.В.,5c48b6a472ebd144ef45c8ed,egorov-e-v
Алимпий,5c48b6d172ebd144ef45d7ba,alimpiy
Тюменев Л.Я.,5c48b6d172ebd144ef45d7a7,tyumenev-l-ya
Дионисий,5c48b68b72ebd144ef45c0b0,dionisiy
